sp;;;;;;;;;;;;;;;
[] = diese Art ist außerhalb des Plotes gewachsen;;;;;;;;;;;;;;;
Skala: Londo, alle Werte bereits in Deckungen, keine Transformation nötig;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Gebiet;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus
Plot-ID;Sch-BergU-4;Sch-CaBi-1;Sch-CaBi-2;Sch-CaBi-3;Sch-CaBi-4;Sch-CaBi-5;Sch-BergU-1;Sch-BergU-2;Sch-BergU-3;Sch-BergU-5;Sch-NarU-1;Sch-NarU-2;Sch-NarU-3;Sch-NarU-4;Sch-NarU-5
DB_Jehl_Aufnahmefläche;;;;;;;;;;;;;;;
DB_Jehl_Aufnahme;;;;;;;;;;;;;;;
Datum:      ;14.07.2020;14.07.2020;14.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020
Bearbeiter:;Lea & Conny;Lea & Conny;Lea & Conny;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea
Flächengröße;4 m2;;;;;;;;;;;;;;
Management;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht;ungemäht
Vegetation inkl. Terrestr. Kryptosg. Gesamt  (%);92;70;80;95;98;95;97;98;97;98;72;70;80;85;80
Vegetation Obere  Höhe (cm);78;62;100;47;50;43;61;79;70;72;59;41;42;74;51
Streu Deckung (%);90;100;100;100;100;100;40;65;60;60;90;90;80;85;90
Höhe der Streuschicht (cm);6;16;5;11;6;9;2;1,5;1,5;3;6;6;8;6;5
Moose Deckung (%);2;0;0,1;;;;40;10;15;40;10;;2;5;
Moose Höhe (cm);5;0;5;;;;2,5;1;2;3;6;;1;2;
Gräser Deckung (%);45;69;79;94;98;94;45;48;47;45;67;65;65;60;79
Gräser Höhe (cm);78;62;100;47;50;42;61;79;70;72;59;41;42;74;51
Kräuter Deckung (%);45;1;1;1;0,1;0,5;53;50;50;53;3;5;5;25;1
