;sp;;;;;;;;;;;;;;;
;[] = diese Art ist außerhalb des Plotes gewachsen;;;;;;;;;;;;;;;
;Skala: Londo, alle Werte bereits in Deckungen, keine Transformation nötig;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Gebiet;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus
;Plot-ID;Sch-Agr-1;Sch-Agr-2;Sch-Cal-1;Sch-Nar-1;Sch-Cal-2;Sch-Cal-3;Sch-Cal-5;Sch-Cal-4;Sch-Nar-2;Sch-Nar-3;Sch-Nar-4;Sch-Nar-5;Sch-Agr-3;Sch-Agr-4;Sch-Agr-5
;DB_Jehl_Aufnahmefläche;;;;;;;;;;;;;;;
;DB_Jehl_Aufnahme;;;;;;;;;;;;;;;
;Datum:      ;09.07.2020;09.07.2020;09.07.2020;09.07.2020;14.07.2020;14.07.2020;14.07.2020;14.07.2020;14.07.2020;14.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020
;Bearbeiter:;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea;Lea;Lea;Lea;Lea
;Flächengröße;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2
;Management;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht
;Vegetation inkl. Terrestr. Kryptosg. Gesamt  (%);92;97;92;80;98;99;96;75;70;60;70;78;95;85;98
;Vegetation Obere  Höhe (cm);90;83;89;45;92;83;90;90;61;58;60;76;82;74;72
;Streu Deckung (%);35;60;40;90;90;20;30;30;85;90;95;75;65;50;75
;Höhe der Streuschicht (cm);3;2;8;5;7;9;5;5;7;4;3;4;1;1;1
;Moose Deckung (%);20;3;35;2;50;65;75;60;5;1;0;1;10;10;15
;Moose Höhe (cm);2;3,5;3,5;1,5;5;6;5;5;2;1,5;0;0,5;1,5;1,5;1,5
;Gräser Deckung (%);52;47;60;70;56;55;53;45;50;60;75;75;50;45;53
;Gräser Höhe (cm);90;83;89;45;92;83;90;90;61;58;60;76;82;74;72
;Kräuter Deckung (%);40;50;30;10;40;40;42;25;20;1;0,3;3;45;38;45
;Kräuter Höhe (cm);28;31;32;25;44;45;46;54;20;6;12;6;26;25;23
;wasser;;;;;2;;;;;;;;;;
;offen;3;1;0;7;;;0,5;;2;3;3;4;2;4;
;vegetation ohne moos;90;97;90;80;96;95;95;70;70;60;70;78;95;83;98
;Baumschicht (%);;;;;;;;;;;;;;;
;Baumschicht (Höhe);;;;;;;;;;;;;;;
;Slope;;;;;2;2;;;;;;;;;
;Exposition;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO
;;;;;;;;;;;;;;;;
g;Agrostis capillaris;20;17;;3;15;;1;12;1;;;;25;15;32
g;Agrostis canina;;;;;;;;;;;;;;;
g;Anthoxanthum odoratum;;;1;;0,5;0,5;0,5;1;;;;;;;
g;Calamagrostis villosa;;;;;;;;;;;;;;;
g;Carex brizoides ;;;;;;;;;;;;;;;
g;Carex demissa;;;;;;;;;;;;;;;
g;Carex echinata;;;;;;1;0,5;;;;;;;;
g;Carex flava agg.;;;;;;;;;;;;;;;
g;Carex flava s.str.;;;;;;;;;;;;;;;
g;Carex leporina;;0,1;0,5;;1;1;10;0,5;0,3;;;;1;;
g;Carex nigra;;;2;2;3;2;25;17;0,5;3;0,5;1;;;
g;Carex pallescens;0,3;3;;;0,5;;;;;;;;;;
g;Carex panicea;;;;;;;;;;;;;;;
