;sp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hoschachten hat per se keine Feuchtwiese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;[] = diese Art ist außerhalb des Plotes gewachsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Diese drei Plots könnte man mal vergleichen, ob das ähnlich ist (allerdings haben die eine Baumdach, man könnte aber auch überlegen alle Bäume für die asuwertung wegzulassen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Skala: Londo, alle Werte bereits in Deckungen, keine Transformation nötig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bergmähwiesen (evtl findet man noch eine 5te?);;;;;;;;Für einen Vergleich zu anderen Feuchtwiesen: entweder die Arten in der Taeblle vergleichen oder Ordination;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vegetationstyp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Calthion;;Calthion;;Calthion/Carex brizoides Ü;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nardetum;;Nardetum;;Nardetum;;Nardetum;;Nardetum;
;Plot-ID;1a;;1b;;1c;;1d;;1e;;2a;;2b;;2c;;2d;;2e;;3a;;3b;;3c;;3d;;4a;;4b;;4c;;4d;;5a;;5b;;5c;;8a;;8b;;8c;;8d;;8e;;9a;;9b;;9c;;9d;;10a;;10b;;10c;;10d;;11a;;11b;;11c;;11d;;12a;;12b;;12c;;12d;;12e;
;DB_Jehl_Aufnahmefläche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DB_Jehl_Aufnahme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Datum:      ;28.07.2020;;28.07.2020;;28.07.2020;;28.07.2020;;28.07.2020;;;;28.07.2020;;;;28.07.2020;;28.07.2020;;28.07.2020;;28.07.2020;;28.07.2020;;;;28.07.2020;;28.07.2020;;28.07.2020;;28.07.2020;;;;;;;;17.08.2020;;17.08.2020;;17.08.2020;;17.08.2020;;17.08.2020;;;;;;;;;;28.07.2020;;28.07.2020;;28.07.2020;;28.07.2020;;17.08.2020;;17.08.2020;;17.08.2020;;17.08.2020;;28.07.2020;;28.07.2020;;28.07.2020;;28.07.2020;;28.07.2020;
;Bearbeiter:;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Straubinger;;Straubinger;;Straubinger;;Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;
;Flächengröße;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;;;;;;;;;;;4;;4;;4;;4;;4;;4;;4;;4;
;Innerhalb der Weide;Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);;;Cover %;Height (cm);Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;Nein;;Nein;;Nein;;Nein;
;Vegetation inkl. Terrestr. Kryptosg. Gesamt  (%);92;;85;;85;;70;;85;;70;;85;;85;;80;;75;;90;;92;;90;;90;;90;;80;;95;;90;;85;;97;;99;;98;;95;;80;;90;;80;;97;;98;;95;;99;;65;;70;;93;;95;;98;;98;;93;;82;;95;;95;;92;;95;;95;
;Vegetation ohne Moose (%);;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;83;;93;;99;;95;;92;;75;;85;;80;;92;;98;;95;;98;;;;;;;;;;97;;97;;90;;80;;;;;;;;;;;
;Vegetation Obere  max. Höhe (cm);72;;93;;;;;;81;;75;;;;30;;62;;;;;;83;;79;;80;;77;;1;;;;70;;79;;83;;73;;67;;69;;77;;73;;56;;;;72;;66;;78;;;;61;;73;;;;46;;58;;77;;54;;64;;75;;54;;81;;;
;Vegetation Obere  average Höhe (cm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Streu Deckung (%);60;;;;30;;60;;50;;;;;;;;35;;;;20;;40;;35;;40;;;;;;60;;20;;20;;10;;;;;;50;;;;60;;30;;20;;20;;80;;;;70;;15;;60;;70;;30;;60;;60;;25;;30;;60;;70;;80;;75;
