;sp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020 wurde lediglich das Mahdtransekt evaluiert (dieses hatte 2019 gefehlt);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tipp für die nächste Evaluierung: Poa mit Herbarbelgen differenzieren, ebenso Alchemilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Calthion bis Niedermoor, ich würde hier noch selektieren auf Calthion (Ordination, Tabellen nach Stetigkeiten sortieren oder einfach Plots mit hoher Abundanz von Nardus raus?);;;;;;;;;;;;;;;;;;;;
;[] = diese Art ist außerhalb des Plotes gewachsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zu den seltenen Arten von Herrn Jehl sind noch Populationsdaten vorhanden;;;;;;;;;;;Das waren die, die wir zusammen gemacht haben;;;;;;;;;
;Skala: Londo, alle Werte bereits in Deckungen, keine Transformation nötig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Carex brizoides plot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Carex brizoides;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bergmähwiese;;Bergmähwiese;;Bergmähwiese;;Bergmähwiese;;Bergmähwiese;
;Gebiet;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;
;Plot-ID;1A;;1B;;1C;;1D;;1E;;2A;;2B;;2C;;3A;;3B;;3C;;3D;;3E;;4A;;4B;;4C;;5A;;5B;;5C;;5D;;6A;;6B;;6C;;6D;;7A;;7B;;7C;;7D;;7E;;8A;;8B;;8C;;9A;;9B;;9C;;10A;;10B;;10C;;11;;12A;;12B;;12C;;12D;;12E;;Jehl_1;Jehl_2;Jehl_3;Jehl_4;Jehl_5;Jehl_7;Jehl_8;Jehl_9;Jehl_10;Jehl_11;Jehl_12;11A;;11B;;11C;;11D;;11E;
;DB_Jehl_Aufnahmefläche;913;;914;;915;;916;;917;;918;;919;;920;;921;;922;;923;;924;;925;;926;;927;;928;;929;;930;;931;;932;;933;;934;;935;;936;;937;;938;;939;;940;;941;;942;;943;;944;;945;;946;;947;;948;;949;;950;;;;956;;957;;958;;959;;960;;900;901;902;903;904;906;907;908;909;910;911;;;;;;;;;;
;DB_Jehl_Aufnahme;2726;;2727;;2728;;2729;;2730;;2731;;2732;;2733;;2734;;2735;;2736;;2737;;2738;;2739;;2740;;2741;;2742;;2743;;2744;;2745;;2746;;2747;;2748;;2749;;2750;;2751;;2752;;2753;;2754;;2755;;2756;;2757;;2758;;2759;;2760;;2761;;2762;;2763;;;;2769;;2770;;2771;;2772;;2773;;2774;2775;2776;2777;2778;2780;2781;2782;2783;2784;2785;;;;;;;;;;
