sp;L;F;R;N;mowing_tol;grazing_tol;foraging_val
Acer pseudoplatanus;4;6;x;7;;;
Betula pendula juv.;7;x;x;x;;;
Fagus sylvatica juv.;3;5;x;x;;;
Picea abies;5;x;x;x;;;
Sorbus aucuparia;6;x;4;x;;;
Agrostis capillaris;7;x;4;4;6;5;6
Agrostis canina;9;9;3;2;6;3;4
Anthoxanthum odoratum;x;x;5;x;7;5;4
Calamagrostis villosa;6;7;2;2;;;
Carex brizoides ;6;6;4;3;3;5;2
Carex echinata;8;8;3;2;3;2;2
Carex flava agg.;8;9;8;2;4;4;2
Carex leporina;7;7;3;3;5;4;3
Carex nigra;8;8;3;2;4;4;2
Carex pallescens;7;6;4;3;4;5;3
Carex panicea;8;8;x;4;5;4;3
Carex pilulifera;5;5;3;3;3;4;2
Carex rostrata;9;10;3;3;4;2;2
Dactylis glomerata;7;5;x;6;8;4;8
Deschampsia cespitosa;6;7;x;3;5;7;2
Deschampsia flexuosa;6;x;2;3;3;4;3
Eriophorum angustifolium;8;9;4;2;3;3;2
Festuca rubra agg.;x;6;6;x;9;7;7
Festuca rubra nigrescens;7;x;3;2;7;4;5
Glyceria fluitans;7;9;x;7;5;3;5
Holcus mollis;5;5;2;3;6;7;4
Juncus articulatus;8;9;8;2;5;7;2
Juncus bulbosus;6;10;5;2;;;
Juncus effusus;8;7;3;4;4;7;2
Juncus filiformis;7;9;4;3;5;3;2
Juncus tenuis;6;6;5;5;6;9;2
Luzula campestris;7;4;3;2;5;5;3
Luzula multiflora;7;5;5;3;6;4;3
Luzula sylvatica;4;5;4;4;2;4;3
Nardus stricta;8;x;2;2;3;5;3
Phleum pratense;7;5;x;6;8;6;9
Poa humilis;9;5;6;3;;;
Poa pratensis s.str.;6;5;x;6;9;8;9
Poa trivialis;6;7;x;7;8;6;7
Poa supina;8;5;7;7;;;
Trisetum flavescens;7;x;x;5;7;5;7
Agrostis stolonifera;8;x;x;5;9;9;4
Alopecurus pratensis;6;6;6;7;7;4;8
Luzula pilosa;2;5;5;4;;;
Poaceae sp.;;;;;;;
Carex canescens;7;9;4;2;3;4;3
Achillea millefolium;8;4;x;5;7;4;6
Aegopodium podagraria ;5;6;7;8;6;2;4
Ajuga reptans;6;6;6;6;7;5;3
Alchemilla spec.;6;5;6;6;6;4;6
Anemone nemorosa;x;5;x;x;5;7;1
Anthriscus sylvestris;7;5;x;8;7;3;5
Athyrium filix-femina;3;7;x;6;;;
Bistorta officinalis;7;7;5;5;6;4;5
Caltha palustris;7;9;x;x;4;7;1
Campanula rotundifolia;7;x;x;2;4;4;4
Cardamine amara;7;9;6;4;;;
Cardamine pratensis;4;6;x;x;6;7;1
Callitriche palustris agg.;6;11;5;4;;;
Cerastium holosteoides;6;5;x;5;8;4;4
Chaerophyllum hirsutum;6;8;x;7;6;4;2
